GI;ID;Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_zsocred_iBAQ;ZT3_zscore_iBAQ;ZT6_zsocred_iBAQ;ZT9_zscore_iBAQ;ZT12_zsocred_iBAQ;ZT15_zscore_iBAQ;ZT18_zsocred_iBAQ;ZT21_zscore_iBAQ;ZT24_zsocred_iBAQ;ZT27_zscore_iBAQ;ZT30_zsocred_iBAQ;ZT33_zscore_iBAQ;ZT36_zsocred_iBAQ;ZT39_zscore_iBAQ;ZT42_zsocred_iBAQ;ZT45_zscore_iBAQ
gi117320554;GeneID:19699;Reln;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391
gi31982219;GeneID:320100;Relt;1;1;22.8;8.4;0.038188251;-0.491568091;2.249513761;-0.491568091;-0.491568091;0.699894786;-0.491568091;-0.491568091;-0.491568091;-0.46456492;2.347714267;-0.46456492;-0.46456492;0.439675255;-0.46456492;-0.46456492;-0.46456492
gi257796226;GeneID:19703;Renbp;1;1;25.8;2.4;0.472434266;0.202156469;2.346224296;-0.536083952;-0.536083952;0.132038995;-0.536083952;-0.536083952;-0.536083952;-0.424165539;2.430513519;-0.424165539;-0.424165539;0.114479715;-0.424165539;-0.424165539;-0.424165539
gi120953068;GeneID:58887;Repin1;1;0.180488019;22.8;11.4;0.846212955;-1.655746322;-0.325417915;0.623373735;-0.874148162;1.425865581;0.870612459;0.289239333;-0.353778709;-1.236983138;-0.572265448;1.498848633;-0.869724067;0.830132659;0.953771104;0.121396826;-0.725176568
gi161484652;GeneID:19707;Reps1;1;1;25.8;0;1.04148721;1.113192476;0.685220633;0.594356383;-1.04219413;0.434401644;-0.450088108;-1.80093437;0.466045474;1.54580843;-0.160127504;0.38181626;-0.518401324;0.211050942;1.000670077;-1.450202582;-1.010614298
gi84490401;GeneID:194590;Reps2;1;1;19.8;3.9;0.363908189;0.862071509;2.172930417;-0.505833654;-0.505833654;-0.505833654;-0.505833654;-0.505833654;-0.505833654;-0.40950431;2.448215616;-0.40950431;-0.40950431;0.008810242;-0.40950431;-0.40950431;-0.40950431
gi13385882;GeneID:67830;Rer1;1;1;19.8;18.3;0.650651859;-0.856405516;1.267358081;-1.058063256;-0.137902572;-0.716166705;0.304873486;1.647067184;-0.450760703;-0.499156953;1.349649548;-1.564689568;0.272533325;1.005621232;0.095091765;0.435089951;-1.094139299
gi52627143;GeneID:67442;Retsat;1;0.241092538;25.8;2.4;0.572101565;-0.520766296;1.645110142;0.243878929;-0.580004386;-0.876415908;1.363510545;-0.942661067;-0.332651959;0.492104799;1.757107431;0.724331998;-0.311423357;-0.638491303;0.220397943;-0.92876669;-1.315260822
gi27229283;GeneID:104444;Rexo2;1;1;25.8;0;0.745086631;0.192379881;1.77667069;-0.697570127;0.049348436;-0.762357889;-0.113176841;-1.368127302;0.922833152;-0.988019186;1.862241219;-0.258670205;-0.838185514;1.010130346;-0.58749497;0.347713631;-0.547715322
gi76563952;GeneID:227656;Rexo4;1;1;25.8;0;0.649463873;1.775233113;1.258116603;-0.819186838;-0.166210954;-0.819186838;-0.470293857;-0.819186838;0.060715611;2.433813273;-0.17112765;-0.504251599;-0.117480828;-0.504251599;-0.128260894;-0.504189105;-0.504251599
gi188219597;GeneID:19687;Rfc1;1;1;25.8;18.3;0.807235607;-0.182892526;-0.234025169;-0.970127228;-1.13805733;0.916092937;0.275174077;1.865031962;-0.531196723;-0.209023826;0.520801014;-0.093270509;-1.231402627;2.129768682;-0.079859573;-0.718548059;-0.318465102
gi11177922;GeneID:19718;Rfc2;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi124249204;GeneID:69263;Rfc3;1;1;19.8;6.9;0.838308247;-0.890691046;1.288674856;0.294855847;0.744287983;-0.890691046;1.234945498;-0.890691046;-0.890691046;0.627621586;2.028120374;-0.773920223;0.209113218;-0.773920223;0.230825714;-0.773920223;-0.773920223
gi21703948;GeneID:106344;Rfc4;1;1;19.8;18.3;0.800601267;-0.533164333;-0.533164333;1.301450164;-0.533164333;-0.533164333;1.897535833;-0.533164333;-0.533164333;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5
gi14149726;GeneID:54391;Rfk;0.898267811;0.049815442;22.8;6.9;0.915056372;-0.611323187;-0.135617655;1.501644545;1.690589044;-0.611323187;-0.611323187;-0.611323187;-0.611323187;1.826744985;0.499255478;0.937860641;-0.084542491;-0.794829653;-0.794829653;-0.794829653;-0.794829653
gi87299621;GeneID:328370;Rft1;1;0.97585605;22.8;5.4;0.429124516;-0.486322893;0.645408277;-0.486322893;2.27252908;-0.486322893;-0.486322893;-0.486322893;-0.486322893;1.273175956;1.85503593;-0.622514266;-0.015640555;-0.622514266;-0.622514266;-0.622514266;-0.622514266
gi21312876;GeneID:52575;Rg9Mtd1;1;1;19.8;5.4;0.706760747;-0.856287059;-0.26976692;-0.737717679;0.458859457;-0.373180486;1.715917794;-1.053727859;1.115902753;0.302928443;1.090046601;1.106726504;-0.382875546;-0.846631025;0.341032275;-1.858581288;0.247354036
gi251823781;GeneID:209540;Rgag1;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi46195800;GeneID:19732;Rgl2;1;1;25.8;18.3;0.848220298;-1.048330299;0.100449002;-1.048330299;-0.165351848;1.426359024;0.749321916;-1.048330299;1.034212802;-1.03474774;0.405142371;-1.03474774;1.760018075;0.505361111;0.514047879;-1.03474774;-0.080326215
gi31982627;GeneID:71746;Rgl3;1;1;19.8;15.3;0.451200935;0.177430885;0.307119856;-0.822243577;-0.822243577;1.057638206;1.746785362;-0.822243577;-0.822243577;0.135783528;0.176338972;-0.770178438;-0.770178438;0.77387801;1.994713243;-0.770178438;-0.770178438
gi6677739;GeneID:19733;Rgn;1;1;25.8;18.3;0.947682757;-1.116001878;-1.075203769;0.186342338;-0.16727873;1.527712711;1.196259768;-0.832048767;0.280218326;0.673083522;0.740372832;0.826310025;-1.964733045;-0.356027428;-0.164281199;-0.674864272;0.920139566
gi123702010;GeneID:110596;Rgnef;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391
gi27370314;GeneID:242406;Rgp1;1;0.415393267;22.8;3.9;0.579567496;-0.062289081;1.269019926;-0.150770305;-1.033761745;1.203369603;-1.033761745;-1.033761745;0.841955091;0.525536423;2.0144211;-0.205548816;-0.824156341;0.605890219;-0.824156341;-0.824156315;-0.46782993
gi13385914;GeneID:67865;Rgs10;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi13385944;GeneID:56470;Rgs19;0.618977929;0.016250453;22.8;19.8;0.976641875;-0.901019261;0.619508874;-0.901019261;-0.901019261;-0.901019261;0.494090269;1.35363783;1.136840073;-0.782618709;-0.28005102;-0.782618709;-0.782618709;-0.782618709;0.716962028;1.752938075;0.940625754
gi170014732;GeneID:76867;Rhbdd1;1;0.610714172;22.8;8.4;0.901047505;-1.031774742;0.508096448;-0.326109905;0.702532401;1.607613355;-1.031774742;-1.031774742;0.603191927;-0.373337664;1.143953679;-0.174282098;0.24249886;1.466535404;-0.104750476;-1.763540007;-0.437077698
